sku,name,description,category,price,stock,rating,image_url
SKU-09314,AeroOriginals Heavy-Duty Seed Pack,"Heavy-Duty seed pack from AeroOriginals. Premium quality, designed for everyday use.",Garden,5.07,56,4.5,https://picsum.photos/seed/SKU-09314/400/400
SKU-01169,EliteBrand Annotated Encyclopedia,"Annotated encyclopedia from EliteBrand. Premium quality, designed for everyday use.",Books,12.10,112,3.3,https://picsum.photos/seed/SKU-01169/400/400
SKU-00280,StellarStudio Rechargeable Drone,"Rechargeable drone from StellarStudio. Premium quality, designed for everyday use.",Electronics,919.30,260,5.0,https://picsum.photos/seed/SKU-00280/400/400
SKU-01441,HaloBrand Organic Socks,"Organic socks from HaloBrand. Premium quality, designed for everyday use.",Clothing,152.15,152,3.0,https://picsum.photos/seed/SKU-01441/400/400
SKU-01181,CrestWorks Advanced Memoir,"Advanced memoir from CrestWorks. Premium quality, designed for everyday use.",Books,46.43,281,3.8,https://picsum.photos/seed/SKU-01181/400/400
SKU-05122,QuillWorks Artisan Quinoa,"Artisan quinoa from QuillWorks. Premium quality, designed for everyday use.",Grocery,35.39,331,3.1,https://picsum.photos/seed/SKU-05122/400/400
SKU-06853,StellarSupply Anti-Corrosion Jumper Cables,"Anti-Corrosion jumper cables from StellarSupply. Premium quality, designed for everyday use.",Automotive,89.56,11,4.0,https://picsum.photos/seed/SKU-06853/400/400
SKU-04069,LuminEdition Fragrance-Free Moisturizer,"Fragrance-Free moisturizer from LuminEdition. Premium quality, designed for everyday use.",Beauty,97.98,133,3.7,https://picsum.photos/seed/SKU-04069/400/400
SKU-05083,RidgeEdition Artisan Quinoa,"Artisan quinoa from RidgeEdition. Premium quality, designed for everyday use.",Grocery,29.12,414,3.3,https://picsum.photos/seed/SKU-05083/400/400
SKU-06147,RidgeBrand Vet-Approved Aquarium Filter,"Vet-Approved aquarium filter from RidgeBrand. Premium quality, designed for everyday use.",Pet Supplies,255.93,245,4.0,https://picsum.photos/seed/SKU-06147/400/400
SKU-03374,PulseBrand Strategy Doll House,"Strategy doll house from PulseBrand. Premium quality, designed for everyday use.",Toys & Games,96.08,51,4.3,https://picsum.photos/seed/SKU-03374/400/400
SKU-01052,RidgeStudio Pocket Cookbook,"Pocket cookbook from RidgeStudio. Premium quality, designed for everyday use.",Books,23.62,314,4.7,https://picsum.photos/seed/SKU-01052/400/400
SKU-09196,ApexLab Composite Wheelbarrow,"Composite wheelbarrow from ApexLab. Premium quality, designed for everyday use.",Garden,307.07,118,4.0,https://picsum.photos/seed/SKU-09196/400/400
SKU-00378,ForgeTech Smart Earbuds,"Smart earbuds from ForgeTech. Premium quality, designed for everyday use.",Electronics,333.06,79,3.1,https://picsum.photos/seed/SKU-00378/400/400
SKU-03102,PulseStudio Insulated Yoga Mat,"Insulated yoga mat from PulseStudio. Premium quality, designed for everyday use.",Sports & Outdoors,1263.79,19,3.3,https://picsum.photos/seed/SKU-03102/400/400
SKU-04697,HyperStudio Organic Granola,"Organic granola from HyperStudio. Premium quality, designed for everyday use.",Grocery,18.23,324,3.1,https://picsum.photos/seed/SKU-04697/400/400
